"","Time.day","Date","Common.Name","Dist.value","Window.size","data.type"
"1","dawn","7_8","American Crow",168,5,"regular"
"2","dawn","7_8","American Goldfinch",117,4,"regular"
"3","dawn","7_8","American Robin",1440,5,"regular"
"4","dawn","7_8","Baltimore Oriole",46,6,"regular"
"5","dawn","7_8","Barred Owl",108,5,"regular"
"6","dawn","7_8","Black-capped Chickadee",25,15,"regular"
"7","dawn","7_8","Blue Jay",132,10,"regular"
"8","dawn","7_8","Brown Thrasher",511,6,"regular"
"9","dawn","7_8","Brown-headed Cowbird",76,11,"regular"
"10","dawn","7_8","Canada Goose",226,6,"regular"
"11","dawn","7_8","Carolina Chickadee",542,12,"regular"
"12","dawn","7_8","Carolina Wren",118,6,"regular"
"13","dawn","7_8","Cedar Waxwing",147,5,"regular"
"14","dawn","7_8","Chipping Sparrow",44,6,"regular"
"15","dawn","7_8","Common Grackle",123,5,"regular"
"16","dawn","7_8","Downy Woodpecker",114,9,"regular"
"17","dawn","7_8","Eastern Bluebird",256,5,"regular"
"18","dawn","7_8","Eastern Phoebe",19,4,"regular"
"19","dawn","7_8","Eastern Towhee",404,6,"regular"
"20","dawn","7_8","Eurasian Collared-Dove",31,4,"regular"
"21","dawn","7_8","European Starling",323,6,"regular"
"22","dawn","7_8","Field Sparrow",198,5,"regular"
"23","dawn","7_8","Fish Crow",49,12,"regular"
"24","dawn","7_8","Golden-crowned Kinglet",35,4,"regular"
"25","dawn","7_8","Green-winged Teal",23,7,"regular"
"26","dawn","7_8","Hooded Merganser",27,5,"regular"
"27","dawn","7_8","House Finch",598,5,"regular"
"28","dawn","7_8","House Sparrow",576,5,"regular"
"29","dawn","7_8","Mourning Dove",363,11,"regular"
"30","dawn","7_8","Northern Cardinal",676,12,"regular"
"31","dawn","7_8","Northern Flicker",89,6,"regular"
"32","dawn","7_8","Northern Mockingbird",27,6,"regular"
"33","dawn","7_8","Northern Rough-winged Swallow",13,9,"regular"
"34","dawn","7_8","Pileated Woodpecker",33,4,"regular"
"35","dawn","7_8","Pine Siskin",31,5,"regular"
"36","dawn","7_8","Purple Finch",182,5,"regular"
"37","dawn","7_8","Purple Martin",46,4,"regular"
"38","dawn","7_8","Red-bellied Woodpecker",111,6,"regular"
"39","dawn","7_8","Red-breasted Nuthatch",5,6,"regular"
"40","dawn","7_8","Red-headed Woodpecker",67,4,"regular"
"41","dawn","7_8","Red-shouldered Hawk",14,9,"regular"
"42","dawn","7_8","Red-tailed Hawk",14,5,"regular"
"43","dawn","7_8","Red-winged Blackbird",193,5,"regular"
"44","dawn","7_8","Rock Pigeon",11,11,"regular"
"45","dawn","7_8","Ruby-crowned Kinglet",28,7,"regular"
"46","dawn","7_8","Song Sparrow",226,7,"regular"
"47","dawn","7_8","Tree Swallow",301,11,"regular"
"48","dawn","7_8","Tufted Titmouse",353,5,"regular"
"49","dawn","7_8","White-breasted Nuthatch",88,6,"regular"
"50","dawn","7_8","White-throated Sparrow",351,5,"regular"
"51","dawn","7_8","Wild Turkey",25,5,"regular"
"52","dawn","7_8","Yellow-throated Warbler",26,4,"regular"
"53","dawn","7_8","American Crow",10.3333333333333,5,"scale"
"54","dawn","7_8","American Goldfinch",9,4,"scale"
"55","dawn","7_8","American Robin",11.0420035703035,5,"scale"
"56","dawn","7_8","Baltimore Oriole",16.5,5,"scale"
"57","dawn","7_8","Barred Owl",9.75833333333333,5,"scale"
"58","dawn","7_8","Black-capped Chickadee",12.5,5,"scale"
"59","dawn","7_8","Blue Jay",8.72556390977444,5,"scale"
"60","dawn","7_8","Brown Thrasher",22.2467532467533,6,"scale"
"61","dawn","7_8","Brown-headed Cowbird",11.2539682539682,5,"scale"
"62","dawn","7_8","Canada Goose",13.2868421052632,5,"scale"
"63","dawn","7_8","Carolina Chickadee",19.6005291005291,12,"scale"
"64","dawn","7_8","Carolina Wren",11.5428571428571,5,"scale"
"65","dawn","7_8","Cedar Waxwing",16.4166666666667,10,"scale"
"66","dawn","7_8","Chipping Sparrow",11.6666666666667,5,"scale"
"67","dawn","7_8","Common Grackle",13,6,"scale"
"68","dawn","7_8","Downy Woodpecker",8.99999999999999,5,"scale"
"69","dawn","7_8","Eastern Bluebird",13.3282828282828,5,"scale"
"70","dawn","7_8","Eastern Phoebe",10,4,"scale"
"71","dawn","7_8","Eastern Towhee",22.312020460358,5,"scale"
"72","dawn","7_8","Eurasian Collared-Dove",14.3333333333333,4,"scale"
"73","dawn","7_8","European Starling",13.300395256917,12,"scale"
"74","dawn","7_8","Field Sparrow",17.3787878787879,5,"scale"
"75","dawn","7_8","Fish Crow",13.8333333333333,5,"scale"
"76","dawn","7_8","Golden-crowned Kinglet",9.9,8,"scale"
