"","Species","Estimate","Std. Error","t value","Pr(>|t|)","comparison"
"1","(Intercept)",4.76923076923079,1.20551370613876,3.95618129013776,0.00010031379631233,"7th.04_8th.2832"
"2","sppamerican goldfinch",-1.23076923076925,1.70484814601148,-0.721923083676777,0.47104454603524,"7th.04_8th.2832"
"3","sppamerican robin",-2.76923076923079,1.70484814601149,-1.62432693827273,0.10561862643793,"7th.04_8th.2832"
"4","sppblue jay",-0.846153846153861,1.70484814601149,-0.496322120027785,0.620121416749069,"7th.04_8th.2832"
"5","sppcarolina chickadee",-2.30769230769233,1.70484814601149,-1.35360578189395,0.17713559272291,"7th.04_8th.2832"
"6","sppcarolina wren",-6.30769230769233,1.70484814601149,-3.69985580384344,0.000267509442142858,"7th.04_8th.2832"
"7","sppcommon yellowthroat",-3.92307692307694,1.70484814601148,-2.3011298292197,0.0222420811269426,"7th.04_8th.2832"
"8","sppdowny woodpecker",-4.53846153846156,1.70484814601149,-2.66209137105809,0.00829052683971594,"7th.04_8th.2832"
"9","sppeastern bluebird",-3.07692307692309,1.70484814601148,-1.80480770919193,0.0723581858635712,"7th.04_8th.2832"
"10","sppeuropean starling",-1.53846153846156,1.70484814601149,-0.902403854595972,0.367747146723723,"7th.04_8th.2832"
"11","spphouse finch",-1.46153846153848,1.70484814601149,-0.85728366186617,0.392143373775474,"7th.04_8th.2832"
"12","spphouse sparrow",6.84615384615381,1.70484814601149,4.01569715295199,7.93017055598051e-05,"7th.04_8th.2832"
"13","sppmourning dove",-3.07692307692311,1.70484814601149,-1.80480770919193,0.0723581858635699,"7th.04_8th.2832"
"14","sppnorthern cardinal",4.15384615384616,1.70484814601149,2.43649040740909,0.0155587082454466,"7th.04_8th.2832"
"15","sppnorthern flicker",-3.46153846153848,1.70484814601149,-2.03040867284092,0.0434178741435261,"7th.04_8th.2832"
"16","sppred-winged blackbird",-0.846153846153862,1.70484814601149,-0.496322120027786,0.620121416749069,"7th.04_8th.2832"
"17","sppsong sparrow",-1.38461538461541,1.70484814601149,-0.812163469136376,0.417502665154612,"7th.04_8th.2832"
"18","spptree swallow",-1.76923076923079,1.70484814601149,-1.03776443278536,0.300424161682308,"7th.04_8th.2832"
"19","spptufted titmouse",3.6153846153846,1.70484814601149,2.12064905830049,0.0349773869570139,"7th.04_8th.2832"
"20","sppwhite-throated sparrow",-30.076923076923,1.70484814601148,-17.641995357351,3.15273399756365e-45,"7th.04_8th.2832"
"21","(Intercept)",0.923076923076931,1.49370803949166,0.617976805822825,0.537189968240308,"7th.04_8th.48"
"22","sppamerican goldfinch",-0.153846153846159,2.07105308354562,-0.0742840224948635,0.940847679342257,"7th.04_8th.48"
"23","sppamerican robin",5.53846153846154,2.07105308354563,2.67422480981499,0.00801686675003493,"7th.04_8th.48"
"24","sppblue jay",1.69230769230768,2.07105308354562,0.817124247443462,0.414686315443362,"7th.04_8th.48"
"25","sppcarolina chickadee",-0.846153846153859,2.07105308354562,-0.40856212372174,0.68323364890271,"7th.04_8th.48"
"26","sppcarolina wren",-4.07692307692309,2.07105308354562,-1.96852659611382,0.0501847222851875,"7th.04_8th.48"
"27","sppcommon yellowthroat",-0.538461538461544,2.07105308354562,-0.259994078732015,0.795096335363766,"7th.04_8th.48"
"28","sppdowny woodpecker",25.5384615384615,2.07105308354562,12.3311477341469,2.89299607072939e-27,"7th.04_8th.48"
"29","sppeastern bluebird",-0.07692307692308,2.07105308354562,-0.0371420112474319,0.970403354690914,"7th.04_8th.48"
"30","sppeuropean starling",-0.769230769230784,2.07105308354563,-0.37142011247431,0.710659806120165,"7th.04_8th.48"
"31","spphouse finch",-0.769230769230777,2.07105308354562,-0.371420112474307,0.710659806120167,"7th.04_8th.48"
"32","spphouse sparrow",-0.307692307692319,2.07105308354562,-0.148568044989727,0.882022090558667,"7th.04_8th.48"
"33","sppmourning dove",-0.846153846153865,2.07105308354562,-0.408562123721743,0.683233648902707,"7th.04_8th.48"
"34","sppnorthern cardinal",2.15384615384614,2.07105308354562,1.03997631492804,0.299421329626617,"7th.04_8th.48"
"35","sppnorthern flicker",5.53846153846153,2.07105308354562,2.67422480981499,0.00801686675003493,"7th.04_8th.48"
"36","sppred-winged blackbird",-0.230769230769237,2.07105308354562,-0.111426033742294,0.911373772411912,"7th.04_8th.48"
"37","sppsong sparrow",0.3076923076923,2.07105308354562,0.148568044989718,0.882022090558675,"7th.04_8th.48"
"38","spptree swallow",-0.846153846153854,2.07105308354562,-0.408562123721738,0.683233648902711,"7th.04_8th.48"
"39","spptufted titmouse",-0.615384615384624,2.07105308354563,-0.297136089979447,0.766625490922538,"7th.04_8th.48"
