"","Species","comparison","p.val","p.val.adj","statistic"
"1","white-throated sparrow","7th.0-4vs8th.0-4",0.488482044335952,0.488482044335952,0.692725163519778
"2","white-throated sparrow","7th.0-4vs8th.28-32",0.488482044335952,0.488482044335952,0.692725163519778
"3","white-throated sparrow","7th.0-4vs8th.4-8",0.435948772099317,0.488482044335952,-0.77905252912841
"4","white-throated sparrow","8th.0-4vs8th.4-8",0.211685293018942,0.488482044335952,-1.24894472125702
"5","white-throated sparrow","8th.28-32vs8th.4-8",0.211685293018942,0.488482044335952,-1.24894472125702
"6","tufted titmouse","7th.0-4vs8th.0-4",0.541282987475006,0.649539584970008,0.610874016932381
"7","tufted titmouse","7th.0-4vs8th.28-32",0.317161557790703,0.634323115581405,-1.0003078326973
"8","tufted titmouse","7th.0-4vs8th.4-8",0.825947203044973,0.825947203044973,-0.219902353889812
"9","tufted titmouse","8th.0-4vs8th.28-32",0.123727053275222,0.634323115581405,-1.53931647722869
"10","tufted titmouse","8th.0-4vs8th.4-8",0.45147080488101,0.649539584970008,-0.752965235577155
"11","tufted titmouse","8th.28-32vs8th.4-8",0.28276606319829,0.634323115581405,1.07412633414889
"12","tree swallow","7th.0-4vs8th.0-4",0.69688688548877,0.836264262586524,0.389526264564205
"13","tree swallow","7th.0-4vs8th.28-32",1,1,0
"14","tree swallow","7th.0-4vs8th.4-8",0.211685293018942,0.635055879056825,1.24894472125702
"15","tree swallow","8th.0-4vs8th.28-32",0.435948772099317,0.732723066503927,-0.77905252912841
"16","tree swallow","8th.0-4vs8th.4-8",0.488482044335952,0.732723066503927,0.692725163519778
"17","tree swallow","8th.28-32vs8th.4-8",0.211685293018942,0.635055879056825,1.24894472125702
"18","song sparrow","7th.0-4vs8th.0-4",0.752696462859753,0.857114050134242,0.315085861787526
"19","song sparrow","7th.0-4vs8th.28-32",0.857114050134242,0.857114050134242,0.180049063878586
"20","song sparrow","7th.0-4vs8th.4-8",0.518391568110829,0.857114050134242,0.645826740656082
"21","song sparrow","8th.0-4vs8th.28-32",0.765646776439731,0.857114050134242,-0.298073880302807
"22","song sparrow","8th.0-4vs8th.4-8",0.697269783415644,0.857114050134242,0.389008601604505
"23","song sparrow","8th.28-32vs8th.4-8",0.656622393506404,0.857114050134242,0.444581258976577
